DisplayName,UserPrincipalName,Password
Prof. Alice Johnson,zYrCVTtOf@hotmail.com,KVXLJsUxko123@
Dr. Alice Lee,ADPSYJnmH@hotmail.com,lIWiOiTfUB123@
Prof. Alice Lee,HAgZEdu@hotmail.com,saLcWQuaBh123@
Dr. James Wilson,DltJKHjt@hotmail.com,JIQMssCrZq123@
Mr. Sarah Smith,sDAYVl@yahoo.com,XScIVoXjmz123@
Mr. John Taylor,ImCrR@outlook.com,cJxicOYUcD123@
Prof. Michael Taylor,QhHXAYISnc@yahoo.com,asgEpdJUkh123@
Ms. Sarah Smith,mxKKPZMBn@gmail.com,HbKPiEBUHR123@
Mr. James Lee,kXfRIJcxmb@outlook.com,eFpprljlzK123@
Ms. Emma Johnson,NvQRqC@yahoo.com,jhDwpvtRLj123@
